"survey_dt","polyid","effort_type","non_pup","pup","num_seals","tide_height","nearest_high_dt","nearest_high_height","nearest_low_dt","nearest_low_height"
2015-08-27 18:34:28,"OA00","Partial survey",31,0,31,0.465212,2015-08-27 22:42:00,1.13,2015-08-27 15:08:00,-0.12
2015-08-28 21:22:34,"OA00","Full survey, no recon",64,0,64,0.992413,2015-08-28 23:14:00,1.16,2015-08-28 15:53:00,-0.1
2018-08-17 00:08:29,"OA00","Full survey, no recon",117,0,117,0.539517,2018-08-17 04:42:00,1.51,2018-08-16 22:10:00,0.3
2015-08-27 19:02:41,"OA02","Partial survey",7,0,7,0.732821,2015-08-27 22:09:00,1.11,2015-08-27 14:22:00,-0.11
2017-08-26 22:32:18,"OA02","Full survey, no recon",196,0,196,0.458466,2017-08-27 03:43:00,1.29,2017-08-26 21:10:00,0.37
2018-08-16 23:44:42,"OA02","Full survey, no recon",235,0,235,0.582508,2018-08-17 04:09:00,1.47,2018-08-16 21:25:00,0.28
2015-08-27 21:03:53,"OA02","Full survey, no recon",200,0,200,1.061496,2015-08-27 22:09:00,1.11,2015-08-28 01:44:00,0.65
2015-08-31 18:57:14,"OB04","Full survey, no recon",145,0,145,0.160318,2015-08-31 12:34:00,0.7,2015-08-31 19:45:00,0.14
2017-08-25 22:38:22,"OB04","Full survey, no recon",50,0,50,0.353592,2017-08-26 05:54:00,0.52,2017-08-25 21:29:00,0.34
2018-08-30 22:24:14,"OB04","Partial survey",64,0,64,0.411676,2018-08-31 01:41:00,0.59,2018-08-30 19:00:00,0.28
2015-08-27 19:47:32,"OB05","Partial survey",39,0,39,0.793289,2015-08-27 22:32:00,1.29,2015-08-27 15:54:00,-0.15
2017-08-25 23:08:06,"OB05","Full survey, no recon",37,0,37,0.871098,2017-08-26 02:09:00,1.41,2017-08-25 19:53:00,0.22
2018-08-30 22:00:28,"OB05","Partial survey",21,0,21,0.633161,2018-08-31 01:53:00,1.4,2018-08-30 19:35:00,0.28
2015-08-31 18:42:58,"OB05","Full survey, no recon",43,0,43,-0.032739,2015-09-01 00:48:00,1.59,2015-08-31 18:37:00,-0.03
2015-08-27 19:30:30,"OB06","Full survey, no recon",158,0,158,0.646529,2015-08-27 22:26:00,1.25,2015-08-27 15:55:00,-0.17
2017-08-25 22:55:29,"OB06","Full survey, no recon",173,0,173,0.703531,2017-08-26 02:15:00,1.32,2017-08-25 20:05:00,0.24
