"survey_date","survey_dt","photographer","flir_operator","flir_count_obs","polyid","track_rep","effort_type","num_seals","altitude_flir_trial","temp_c_slr_trial","sky_cover","precipitation","tide_height","nearest_high_dt","nearest_high_height","nearest_low_dt","nearest_low_height","use_for_flir_trial","num_seals <- ifelse(is.na(num_seals), 0, num_seals)"
2019-08-17,2019-08-18 00:54:55,"CLC","JML",3,"OB04",1,"Full FLIR survey, no recon",47,2300,-99,"0-5","None",0.319025,2019-08-18 11:26:00,0.76,2019-08-17 19:52:00,0.1,"Y",47
2019-08-17,2019-08-18 01:17:27,"CLC","JML",NA,"OB04",2,"Full survey, no recon",86,750,16,"0-5","None",0.325984,2019-08-18 11:26:00,0.76,2019-08-17 19:53:00,0.1,"Y",86
2019-08-17,2019-08-18 00:14:10,"CLC","JML",NA,"OB05",1,"Full survey, recon",16,750,14,"0-5","None",1.183086,2019-08-18 01:23:00,1.27,2019-08-17 18:55:00,-0.03,"Y",16
2019-08-17,2019-08-18 00:35:32,"CLC","JML",2,"OB05",2,"Full FLIR survey, recon",3,1800,-99,"0-5","None",1.2281,2019-08-18 01:23:00,1.27,2019-08-17 18:55:00,-0.03,"Y",3
2019-08-17,2019-08-17 23:52:32,"CLC","JML",1,"OB06",2,"Full FLIR survey, no recon",41,1800,-99,"0-5","None",1.027004,2019-08-18 01:23:00,1.19,2019-08-17 19:02:00,0,"Y",41
2019-08-17,2019-08-18 01:48:51,"CLC","JML",NA,"OB07",1,"Full survey, no recon",100,750,15,"0-5","None",0.35004,2019-08-18 08:15:00,0.67,2019-08-17 21:15:00,0.14,"Y",100
2019-08-17,2019-08-18 02:25:55,"CLC","JML",NA,"OB08",1,"Full survey, no recon",37,750,12,"0-5","None",0.468686,2019-08-18 07:01:00,0.94,2019-08-17 22:58:00,0.14,"Y",37
2019-08-19,2019-08-19 22:26:30,"CLC","JML",6,"OA00",1,"Full FLIR survey, no recon",82,2300,-99,"0-5","None",0.424059,2019-08-20 03:53:00,1.19,2019-08-19 20:41:00,0.31,"Y",82
2019-08-19,2019-08-19 22:48:25,"CLC","JML",NA,"OA00",2,"Full survey, no recon",127,750,14,"0-5","None",0.474435,2019-08-20 03:53:00,1.19,2019-08-19 20:41:00,0.31,"Y",127
2019-08-19,2019-08-19 20:43:19,"CLC","JML",4,"OA02",1,"Full FLIR survey, no recon",190,2300,-99,"0-5","None",0.30952,2019-08-20 03:20:00,1.16,2019-08-19 19:56:00,0.29,"Y",190
2019-08-19,2019-08-19 21:19:57,"CLC","JML",NA,"OA02",2,"Full survey, no recon",287,750,13,"0-5","None",0.355424,2019-08-20 03:20:00,1.16,2019-08-19 19:56:00,0.29,"Y",287
2019-08-19,2019-08-20 00:20:01,"CLC","JML",NA,"OB08",1,"Full survey, no recon",65,750,13,"0-5","None",0.321337,2019-08-20 07:16:00,0.87,2019-08-20 00:07:00,0.32,"Y",65
2019-08-19,2019-08-20 00:45:21,"CLC","JML",8,"OB08",2,"Full FLIR survey, no recon",46,2300,-99,"0-5","None",0.329354,2019-08-20 07:16:00,0.87,2019-08-20 00:07:00,0.32,"Y",46
2019-08-19,2019-08-19 23:21:29,"CLC","JML",7,"OB12",1,"Full FLIR survey, recon",100,2300,-99,"0-5","None",0.26699,2019-08-19 17:06:00,0.57,2019-08-19 22:50:00,0.26,"Y",100
2019-08-19,2019-08-19 23:43:32,"CLC","JML",NA,"OB12",2,"Full survey, recon",117,750,14,"0-5","None",0.27573,2019-08-19 17:06:00,0.57,2019-08-19 22:50:00,0.26,"Y",117
2019-08-19,2019-08-19 21:44:10,"CLC","JML",5,"OB13",1,"Full FLIR survey, no recon",93,1800,-99,"0-5","None",0.306621,2019-08-19 17:40:00,0.53,2019-08-19 23:54:00,0.21,"Y",93
2019-08-19,2019-08-19 22:02:38,"CLC","JML",NA,"OB13",2,"Full survey, no recon",139,750,14,"0-5","None",0.285379,2019-08-19 17:40:00,0.53,2019-08-19 23:54:00,0.21,"Y",139
2019-08-23,2019-08-24 01:03:58,"SPD","CLC",5,"PA11",1,"Full FLIR survey, no recon",30,2300,-99,"95-100","None",0.772769,2019-08-23 22:34:00,0.82,2019-08-24 02:43:00,0.75,"Y",30
2019-08-23,2019-08-24 01:20:01,"SPD","CLC",NA,"PA11",2,"Full survey, no recon",41,750,12,"95-100","None",0.765751,2019-08-23 22:34:00,0.82,2019-08-24 02:43:00,0.75,"Y",41
2019-08-23,2019-08-24 00:22:01,"SPD","CLC",NA,"PA12",1,"Full survey, no recon",76,750,12,"55-95","None",0.642134,2019-08-23 22:08:00,0.67,2019-08-24 01:35:00,0.63,"Y",76
2019-08-23,2019-08-24 00:36:34,"SPD","CLC",4,"PA12",2,"Full FLIR survey, no recon",49,750,-99,"55-95","None",0.638885,2019-08-23 22:08:00,0.67,2019-08-24 01:35:00,0.63,"Y",49
2019-08-23,2019-08-23 23:22:48,"SPD","CLC",3,"PA14",1,"Full FLIR survey, no recon",201,750,-99,"55-95","None",0.876677,2019-08-23 19:31:00,1.04,2019-08-23 22:33:00,0.86,"Y",201
2019-08-23,2019-08-23 23:56:45,"SPD","CLC",NA,"PA14",2,"Full survey, no recon",312,750,13,"30-55","None",0.903721,2019-08-23 19:31:00,1.04,2019-08-23 22:33:00,0.86,"Y",312
2019-08-23,2019-08-23 22:21:24,"SPD","CLC",NA,"QA01",1,"Full survey, no recon",149,750,10,"0-5","None",0.711411,2019-08-23 19:32:00,0.91,2019-08-23 22:59:00,0.69,"Y",149
2019-08-23,2019-08-23 22:48:58,"SPD","CLC",2,"QA01",2,"Full FLIR survey, no recon",233,1300,-99,"0-5","None",0.694722,2019-08-23 19:32:00,0.91,2019-08-23 22:59:00,0.69,"Y",233
2019-08-23,2019-08-23 21:39:48,"SPD","CLC",1,"QA02",1,"Full FLIR survey, no recon",185,2300,-99,"5-30","None",0.774609,2019-08-24 07:20:00,1.13,2019-08-23 14:47:00,0.15,"Y",185
